Track ID,accousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
3qqKui1tn0QSC4z8ce6wsm,0.358,0.824,143462,0.927,7.35E-06,4,0.449,-9.843,0,0.886,79.938,4,0.492,1
3pNYy5YorVBDgLx3J4IVdo,0.373,0.651,234115,0.49,0.711,7,0.094,-11.763,1,0.0304,123.976,4,0.516,1
5qD3Qv8Wu3r5uRD0DahcZy,5.36E-05,0.426,242680,0.959,6.54E-06,0,0.707,-4.95,1,0.0525,155.01,4,0.372,3
2RI5Stw86NuyADOEmGLw2P,0.0147,0.466,244662,0.903,0.0527,8,0.0763,-5.813,1,0.0352,98.021,4,0.41,2
0PKek4Dx6rgpvQZkL6VqKL,0.125,0.545,311029,0.691,0,9,0.21,-9.898,1,0.663,154.085,4,0.48,2
6RiI88pDWXUBJcRPuNkjHK,0.167,0.439,175418,0.58,3.71E-05,7,0.0897,-7.602,1,0.0304,164.088,4,0.154,2
67nxe3fLZSfEtRjeas6f9T,0.0121,0.813,132728,0.405,0.831,2,0.0501,-7.786,1,0.0656,125.534,4,0.973,1
7hgwihI7de0gUQk5lSgMKW,0.166,0.716,279801,0.494,4.49E-06,1,0.0761,-9.009,1,0.0635,91.981,4,0.404,2
2uNKrD9RRVjberEKX02wb6,0.492,0.631,194370,0.554,0.00278,1,0.07,-7.483,0,0.055,134.981,4,0.215,2
5vSH6QgQ4WYVf99LASBSXi,0.196,0.575,242147,0.696,0.011,9,0.0986,-4.687,0,0.029,175.993,4,0.282,2
25Wl8tfoyW7epmTLD6BcXH,0.0145,0.516,251893,0.818,0.000793,7,0.251,-6.621,1,0.0294,103.994,4,0.356,1
0VrQ3dAV7vefMJYb56q0M3,0.884,0.688,217066,0.506,0.0306,2,0.108,-9.049,0,0.0697,138.893,4,0.107,2
0W64NfLrIsRTAFObko6uJx,0.801,0.51,220240,0.619,0,7,0.0811,-7.918,1,0.281,97.018,4,0.321,3
3GX2hFAekmSduZzcS52OnR,0.243,0.733,191920,0.574,0,1,0.231,-6.409,0,0.266,159.987,4,0.305,2
5kAe5RQFOElPG596CDPouP,0.387,0.382,382813,0.436,0.0403,7,0.061,-11.732,1,0.04,124.991,4,0.324,1
1HGhRqBz4D53D6VwOlBtCu,0.187,0.467,202307,0.633,0,7,0.181,-5.531,1,0.0286,129.218,4,0.401,2
4bGhX1hZxtj8DA6CeacQ6h,0.174,0.639,218987,0.385,0.00149,1,0.0815,-8.971,1,0.0936,160.241,4,0.555,2
15IgHEkeO9gSqrKilaEh8b,0.00749,0.604,208387,0.492,0,4,0.11,-5.207,0,0.0288,121.125,4,0.385,2
